# x^^y == y
# x^^^Infinity == y
# x == HyperRoot[5][Infinity][y]
# x == SuperRoot[y][y]
# SuperLog[x][y] == y
0x1.f8p+6,0x0,0x1.71ffa0ee678f8p+0,0x0, exact
0x1.fcp+6,0x0,0x1.71fefbbd18b49p+0,0x0, exact
0x1.00p+7,0x0,0x1.71fe5a554e3f8p+0,0x0, exact
0x1.02p+7,0x0,0x1.71fdbc99a2186p+0,0x0, exact
0x1.04p+7,0x0,0x1.71fd226dc92bcp+0,0x0, exact
0x1.06p+7,0x0,0x1.71fc8bb686bf2p+0,0x0, exact
0x1.08p+7,0x0,0x1.71fbf859a06cap+0,0x0, exact
0x1.0ap+7,0x0,0x1.71fb683dd2bdbp+0,0x0, exact
0x1.0cp+7,0x0,0x1.71fadb4ac65a7p+0,0x0, exact
0x1.0ep+7,0x0,0x1.71fa516905c55p+0,0x0, exact
0x1.10p+7,0x0,0x1.71f9ca81f39b8p+0,0x0, exact
0x1.12p+7,0x0,0x1.71f9467fc151ap+0,0x0, exact
0x1.14p+7,0x0,0x1.71f8c54d66665p+0,0x0, exact
0x1.16p+7,0x0,0x1.71f846d698042p+0,0x0, exact
0x1.18p+7,0x0,0x1.71f7cb07c10bap+0,0x0, exact
0x1.1ap+7,0x0,0x1.71f751cdfa814p+0,0x0, exact
0x1.1cp+7,0x0,0x1.71f6db1704586p+0,0x0, exact
0x1.1ep+7,0x0,0x1.71f666d13e969p+0,0x0, exact
0x1.20p+7,0x0,0x1.71f5f4eba2cb0p+0,0x0, exact
0x1.22p+7,0x0,0x1.71f58555bdd4ep+0,0x0, exact
0x1.24p+7,0x0,0x1.71f517ffa9f40p+0,0x0, exact
0x1.26p+7,0x0,0x1.71f4acda09218p+0,0x0, exact
0x1.28p+7,0x0,0x1.71f443d5ffaa7p+0,0x0, exact
0x1.2ap+7,0x0,0x1.71f3dce52f0acp+0,0x0, exact
0x1.2cp+7,0x0,0x1.71f377f9b1043p+0,0x0, exact
0x1.2ep+7,0x0,0x1.71f3150612ee9p+0,0x0, exact
0x1.30p+7,0x0,0x1.71f2b3fd513dcp+0,0x0, exact
0x1.32p+7,0x0,0x1.71f254d2d33bep+0,0x0, exact
0x1.34p+7,0x0,0x1.71f1f77a66f35p+0,0x0, exact
0x1.36p+7,0x0,0x1.71f19be83d47fp+0,0x0, exact
