0x1.0a5a560f29605d358746e62e3a4ap+1579,-0x1.5804ec334a0f87bc2e5819e01edep+1576
-0x1.649ce83b70f9f17223d8689ae880p+1587,0x1.ed2d9d48440e83859dd1d38ad1bap+1587
-0x1.b3d4bef19ca49e9b1ea23438768ap+1594,-0x1.548fe1ff3d8fcc7fb71581f7ee01p+1597
0x1.3df9675cf0b314d49f0d40b3a019p+1606,0x1.cd3c2ee78b735254fd0d56032885p+1605
-0x1.bbfcea92ee7b48cc5da0407e46e5p+1615,0x1.19843f6b7bc698bd14577a5d89b3p+1613
0x1.30160ae4696ba47342f0d14adb92p+1624,-0x1.a209ba9875a8abc2658ce938e7bbp+1624
0x1.72c83b21b8e2b904ab33151ae0acp+1631,0x1.2708924784a689ff52b320ee1431p+1634
-0x1.181d3621996e23942087d89f15a8p+1643,-0x1.98b21925fd11c4243893fd984521p+1642
0x1.8fa5c80bd9ac2f57e8a91a2dfd74p+1652,-0x1.f1cc2c9e2aafaab84ff9f3618579p+1649
-0x1.17e508bd1469cae0c94f9ac6d6f3p+1661,0x1.7e9661f7edccc496440337a8a3d3p+1661
-0x1.54901fd24faa230bf54faac0f9a2p+1668,-0x1.13d6046bd2ea649408e07966cf69p+1671
0x1.0a3c3878bdf1f6cf9950593870a9p+1680,0x1.86a0cb70c21f37828700875d768ep+1679
-0x1.83f349305f49080f5b61b81abd9fp+1689,0x1.dad3dd19dd94671e075c98c210a4p+1686
0x1.15b274f79d63e0507944a450bba1p+1698,-0x1.798175dbdbacb7fcf308fc1c12edp+1698
0x1.513c2fdbe53ee26359bfb9f79b61p+1705,0x1.15eb2c9d173b44d80d58e1fbf40ep+1708
-0x1.10a0b5d90240f25297902c178585p+1717,-0x1.922a3a3f0f6e824056c8fd40005bp+1716
0x1.9590fe8d2aef2eed6410c9af80f2p+1726,-0x1.e7f2c2edae1e4fa710c42113bff4p+1723
-0x1.289252611d2c4b033ed85f1a456ep+1735,0x1.910b45e521d8cc55c1a74b10756dp+1735
-0x1.6785cb12c599bf75c09e03b63a70p+1742,-0x1.2d5a8e97328af5b795f257db3c17p+1745
0x1.2c5ee4a1e97289a03cda3bae0356p+1754,0x1.bd62a4f898f907ac1cdea5eb0664p+1753
-0x1.c7fc27d1ad920d3fde1c968147f6p+1763,0x1.0dbdf488742e406b6d3770b0a84bp+1761
0x1.547b3b6983dbbabf1b28f4493846p+1772,-0x1.ca186a583de061ee3dc8a3334a61p+1772
0x1.9c19204c15257b8e6ea4b95349e9p+1779,0x1.5f331b25db8c87b6f7a81483ad44p+1782
-0x1.6398c7ce0bcf8d314b76935ac7c4p+1791,-0x1.08f3109f2d03ba43587d5a50984ap+1791
0x1.1353acc1b82ed3ad6b90d7b0e054p+1801,-0x1.4071ea428ab4e5b05d9a4b5c676ap+1798
-0x1.a3ab635bd36499b329be8ef2875ep+1809,0x1.18f29125e7f408785a2362b89815p+1810
-0x1.fb392d72dc109dae2aca9de08f8bp+1816,-0x1.b7560138bd9763abf9c016f9f036p+1819
0x1.c3c61a11e67b547673ca8220283cp+1828,0x1.523872e9576329f1f21075fa456ap+1828
-0x1.64acbe86dca89749596909e89f53p+1838,0x1.9884a5cb0a2e15a3d878db1eb237p+1835
0x1.1555dfc4339ebe3f1bc2153fe2dap+1847,-0x1.7196eae828257adc52f6d72a0f93p+1847
0x1.4ec6ab11cdb3e186a38403591a77p+1854,0x1.269af23717ddfd61fcd039bd2d2fp+1857
-0x1.339997274fb368b42b7468f83e80p+1866,-0x1.ceb07c607e433f37b8807d8b4c91p+1865
0x1.ef120e55dde194b60e5a8c74b942p+1875,-0x1.171a464cb1b510295add16c2ab75p+1873
-0x1.8894c09ce245f58a617cf96a8c28p+1884,0x1.0468eba90655c9df471dd16a066fp+1885
-0x1.d9606797f3e663cb323ffe230a48p+1891,-0x1.a7162d65ee381444f22377db04c0p+1894
0x1.c06fa14df0548cc0b7be60ee7167p+1903,0x1.52c2ae7137720e5a461717a92ca7p+1903
-0x1.6fb39356d293dd201c81fc2504bfp+1913,0x1.98484c2cba42f986db84575fe51ap+1910
0x1.293f71aa43fc6db06081933de239p+1922,-0x1.88a3c3721a36146005594129984dp+1922
