-0x1.72c04ef2e387fd8cbbd26915ba02p+623,0x1.5ca7507593e17b492f73653f38b5p+624
-0x1.264cf6683d69af98da3add4ad61ep+631,-0x1.5035c7295a4ff78f00afee7e84a2p+631
0x1.de3ece14601bdb8d02143b2e87d2p+638,-0x1.6397edb5c7f3abb3cd21298822bep+637
-0x1.0d4188c5a4ee1bf0e2a16c0ea80dp+639,0x1.25f12d7a82dac5fc05b2c2eb537fp+646
-0x1.3e94731878c4e67fb4d8eede55e2p+653,-0x1.ee9f97798fc859a72bcf3ad3788bp+651
0x1.0c4ae20d5cf02d5c6821f5346204p+660,-0x1.29ca516f57df0e1c7ebf94fa05d3p+660
0x1.b145e9a89b3c542ee1c38b2e9c61p+666,0x1.a5e6d72a5750951e8ea3f7309005p+667
-0x1.19499d9718c2e681216a9b5b29cbp+675,0x1.f6e9aeefb6a9b83d204e01c68156p+671
0x1.539933dfab0b23b1f4f6d7e6a2f0p+680,-0x1.4a01926d5fc97f982bc36d651912p+682
0x1.51f85fd945225900d01aaa7d23b6p+689,0x1.dd5e3a9305eaeedd0b3067053abbp+688
-0x1.a438f97353d600044bf96180352bp+696,0x1.1b14509bb5b46a6602a6d048c9f3p+696
-0x1.1cf6424b7b1688e2ba86d7ad6573p+702,-0x1.30a1a0cac807bd2d38684e5bd851p+704
0x1.821e1287a70006a210a0afc9ed61p+711,0x1.9e6399031c542d59c54a6e1ec991p+708
-0x1.d1f5a891743dd6e4358229df34f4p+717,0x1.ae18e25f98807f7f89e1515a981cp+718
-0x1.94391681502b70a852f6ed86551ap+725,-0x1.d513fc6d67012728ed5191d6324dp+725
0x1.736d8df0cbd1cc96cd24609c63f9p+733,-0x1.0da32177243f2cda7bab5a9cdf48p+732
-0x1.e4b6257ddfd45a5a6d3b5d734138p+734,0x1.fc530033025e2124e73de6365f71p+740
-0x1.3264f904cd8ee3c7bf0371345726p+748,-0x1.e6a51ebb134b4358086ad2e659afp+746
