-0x1.0a7b9d3b3dceb8659f305a76f38cp-2,0x1.598a25fde632f278adb536e228b3p-4
0x1.3a09204c583cfe9cbc24896654dfp+213,-0x1.7968b984fc4fa8e92e18fa2d841bp+213
0x1.7eb9a8f08a605a16e9d64868a7d5p+217,-0x1.c6aa11d88de33d140737cf7d4160p+217
0x1.d869151aa953ebcd32e61256a972p+221,-0x1.1566338ecb5f979ebbee61f5e9e7p+222
0x1.273db92737c248dab7feb568f89cp+226,-0x1.56cd87597e565807f7481dcc88ebp+226
0x1.75a363307d5d1beafea34b9f67fep+230,-0x1.acf3d8effc1cfb2828323f708456p+230
0x1.deae8cd204883b95e182ecaa0a68p+234,-0x1.0fb536caaf95f24272f934487fb6p+235
0x1.365cd01e7686531a8b33fef2b175p+239,-0x1.5c6e7d7134c9c97be3ceb36426f0p+239
0x1.974d0f8e74ed5f9845f83346ebe4p+243,-0x1.c43b4f9cc142fbd454dde460864dp+243
0x1.0e6f8d2127a4b2d2e4264be89990p+248,-0x1.28fd196057828931c769b17e9011p+248
0x1.6b577373682158697044ec0d8b32p+252,-0x1.8aafea26480e469a2e16d7da407cp+252
0x1.edd537e3abd2cbcbae7550f384abp+256,-0x1.0953945a3a0a30c6db60adf3cceap+257
0x1.537254c98310aa01de5cfb35d07dp+261,-0x1.68d9142048ed4cb83f8fcea729e6p+261
0x1.d7f2858b6b27295a24d8f53f6f2dp+265,-0x1.f05c3417da8ead313cbc12e6487bp+265
0x1.4bc407cafe250c8163ca9b23110dp+270,-0x1.593bc12c9b5c3dab008adae2a981p+270
0x1.d79ea380c91f52cc839e0f07d553p+274,-0x1.e5993d7df3092532f95ab4307a0dp+274
0x1.52e48f734cc635fe84c9f0533de1p+279,-0x1.5948e4d5b67aa2c17bdd7a9ab37cp+279
0x1.ec53207538372a8b4ff0b281fb84p+283,-0x1.f0631d6cbb5b85cddd5f0d3d3f06p+283
0x1.6973807b1c19f9099914a16139e2p+288,-0x1.68a8827f65d7586904b9c2d34a83p+288
0x1.0c2fcf2273cc56a9882da9930281p+293,-0x1.08d701d64bf89339d124c5af3eecp+293
0x1.92286e27c2e0ce6410e1316ba886p+297,-0x1.89109743519febe1a7567d959790p+297
0x1.30a9e12bbd49d887563569c0157cp+302,-0x1.26bbed08f7cc73280af4054a8e61p+302
0x1.d25ca167b8a41a4e508f369edde6p+306,-0x1.be935fde0cbd713b85af21999007p+306
0x1.6893e356aa94cc5d49d37b23adefp+311,-0x1.55c8d42dc28e408886ee76ddbb9ap+311
0x1.1999ccce2b89632020b0f44f36e5p+316,-0x1.083baaf579b1b15cc17ff34c95b6p+316
0x1.bc3ca8020f5855f28a965c23beebp+320,-0x1.9ca7473160b6f23c630087ade7fep+320
0x1.61ddb0015887e2bf98de9f3e6b6cp+325,-0x1.456b76c073c153ba7fffe92c31ddp+325
0x1.1ca39c7f16d7fafc39bc59df396bp+330,-0x1.032640e0318a907c429a9890cd67p+330
0x1.ce59ab1944fc80e8ccbc9a853e72p+334,-0x1.a0c439569d3817b39e5d93ae1b40p+334
0x1.7b1cdb3f0ec5a87938fb57476ef2p+339,-0x1.525a87272d40846c2b2e45afb472p+339
0x1.39d13ecea7c6abf5d7773e86fe38p+344,-0x1.1550cd0e0b69df9d3a12ffaef108p+344
0x1.06372b63c3998f2301fa87505d52p+349,-0x1.cadfeafe9eca34b73e9218b23ca2p+348
0x1.ba499a8c037716b904b65def384cp+353,-0x1.7f34928164cd9e590d6f56a1912cp+353
0x1.7875bce89ac934de2aba2475590ep+358,-0x1.42fb84df8713186c92f417e5243fp+358
0x1.435da343fe76aa04b2143fc37531p+363,-0x1.12b9c49ce26b3286c5acafee520ap+363
0x1.18481efe9eab84bded126c803266p+368,-0x1.d79cf2498292dd9926e784b556c2p+367
0x1.ea3f75a9b58084bdd9bc52ff83bbp+372,-0x1.9874337033800c0d6835167549ccp+372
0x1.b0937067b3169a1d1f3214926188p+377,-0x1.64ea700feea0e227c47dfabadaa0p+377
0x1.810fe06b6ec6a37ec95a8d4e4b05p+382,-0x1.3aa4d87fb1ce8aa9f7e5d96e8906p+382
0x1.59c52108b9302be31b925b571849p+387,-0x1.17d07927b9101e19f6dfeda895b6p+387
0x1.392f1b5f872c3b196d1b5b090aa2p+392,-0x1.f6031fc9ac3cb320daab6effb918p+391
0x1.1e1c83e1ad0a96c1b55fda501c8dp+397,-0x1.c63681be55dbbab2112b380a7059p+396
0x1.079c3c093d6168f3c658222c26c6p+402,-0x1.9e7ad531cc8acdac011ac155b0fdp+401
0x1.e9de80824cf006d657e8245118a9p+406,-0x1.7d6df656a28104a5eba6ef337231p+406
0x1.cafbf31ff2502df5b4f060e24a44p+411,-0x1.61f736ea504537f5540f05dc4ae2p+411
0x1.b1a03508e22ff621bc49490a4403p+416,-0x1.4b37ad7ff5013afe85946d1172bap+416
0x1.9d0cd11224a73bf90fbd2f8ca2b9p+421,-0x1.387e3ff4d99ec433111a1025e970p+421
0x1.8cabf93d46ff73975972bda19923p+426,-0x1.293e7fcebc89fd37aee070c51519p+426
0x1.80094a32460bce9b046c2cbc6011p+431,-0x1.1d09ac9f34692700b63f6c1a5235p+431
0x1.76cc511ac2b0825fae8c4ce8b9e4p+436,-0x1.13895d638d625d1863fdcccff03cp+436
0x1.70b475dc3efd4eae6e1d11ebf150p+441,-0x1.0c7b72e8542813aefdf46a1e0823p+441
0x1.6d96051102beb516e5cbfcd40658p+446,-0x1.07af0dd1a3e166d782198836a07cp+446
0x1.6d58289f4f2b4539da14d4f4149ep+451,-0x1.05025571063bd8b32f6edf1cf333p+451
0x1.6ff3ad2a10c75a0c79310261e083p+456,-0x1.0460eac1d8549cc9e8f6c2e9129ap+456
0x1.75727f1bd0d0199c947859153188p+461,-0x1.05c2ee024451eac7c982203628c7p+461
0x1.7defd4bfb5b8870eb1dbdd48eb6ep+466,-0x1.092c865bad8185697037e5ec470bp+466
0x1.8999048fab0c9a596bac6ace2004p+471,-0x1.0eade2a4b88a947b0dc8897aa85dp+471
0x1.98af1048bbfc3a32371ee4e3e145p+476,-0x1.1663b10ed6cd486f625a4c98311fp+476
0x1.ab88f7222f3c9dfa313376901d57p+481,-0x1.207812091630e56c9223ca2ddb0ap+481
0x1.c296ec5f6aebf2ef69506171e041p+486,-0x1.2d24113f14db228e92f23a7cd1c7p+486
0x1.de669c20d55d814c0f62d3e96795p+491,-0x1.3cb1b6d24d32d573996573d7be87p+491
0x1.ffa8b7b82786990f7692b3411876p+496,-0x1.4f7ecb3c27262fd6851a7130883bp+496
0x1.139c0af910b37b9b574adb107481p+502,-0x1.6600724351f3f786eab174d63521p+501
0x1.2b116614aad555160ffc04408055p+507,-0x1.80c7cdca65b8a1fd808e1d4a206fp+506
0x1.46dae2300d2dc7d943519f1fa467p+512,-0x1.a087e8dbe5d489e6163d151fb850p+511
0x1.67c5bebef5dea04d8b8242765748p+517,-0x1.c61d3f5edc6892dec0e3b60bbf75p+516
0x1.8ecf6c2cce521f1e732ab212affcp+522,-0x1.f29750d2cff1767a1fce3e0b8ef9p+521
0x1.bd318d66a6111e9d62408d5cb04ap+527,-0x1.13a2672a702427e837b35580d996p+527
0x1.f47157c50edb03f75a3e24799f50p+532,-0x1.32e1905a38f694913bbc7db6f341p+532
0x1.1b39a96e40c19abe26401123ec78p+538,-0x1.58091f12d39c52cfd58fd8070c37p+537
0x1.42ca66629f52d6c84024ec08e750p+543,-0x1.84570a8ac25972e14ac04679fed8p+542
0x1.72666362a83718ff6d003c183ac4p+548,-0x1.b9579cbae380bdf983211ba6f5acp+547
0x1.abeb5a14c0924408753322dd9d72p+553,-0x1.f8fa8651d8410e43a5b965dedcf6p+552
0x1.f1b517ced8af47a58afd954534a3p+558,-0x1.22d71494bc60b2872faa4ac42f7ap+558
0x1.2360f77f2a233e5d9d0ad60600fdp+564,-0x1.514187f3e7ff75c792791cdae206p+563
0x1.57714add341a2974f2e7df5f42a8p+569,-0x1.89ad1989dbe73eb1a5dc82028a6dp+568
0x1.977ca3b254e237b6ba238a40959fp+574,-0x1.ce90c9095a80d90ecea7527bbd17p+573
0x1.e6a6aed0161c67ee96f5452d90edp+579,-0x1.1188f80262ff7da3fe7135bda9aap+579
0x1.247e9dd5d9928609c5fc73445f71p+585,-0x1.459c6c4d7d70be2a12e58503f2c8p+584
0x1.61e137d40c92812e1727ceb182c2p+590,-0x1.861b385fd22f5010bf2091193a0dp+589
0x1.aee820393baefb8bb584962facf0p+595,-0x1.d66085c5da54bd7013252fedb1cdp+594
0x1.0807983d01e2a03367502815f30fp+601,-0x1.1d641481771babf7818d9c3712abp+600
0x1.459dd4449dc5044b5eb6b2121cc4p+606,-0x1.5c80e38080f157a711c7444de291p+605
0x1.941b8c2d96723053f0bc8d1f317ep+611,-0x1.ac406d1907c86199abd50dd1f620p+610
0x1.f8ab7aff54a925b79a06e6936ccep+616,-0x1.08c50fc2cfe3428f3a9c3f5f325fp+616
0x1.3d1885d17a6fe7a74b562112c649p+622,-0x1.496d058aba768ac836738fba4a0fp+621
0x1.90f310de08d3e3e8f2d332c856bfp+627,-0x1.9c66a8fce4ded9cfa0cff2e20d11p+626
0x1.fe1a8241e240a4ec87412a63197fp+632,-0x1.03b8a3784dbb24f3e0aa85136661p+632
0x1.4679a8f7f0599938e307adaac928p+638,-0x1.4920a0a7294ddf20bcf92edf8562p+637
0x1.a471ec2678c0c3ebaeb7141eaa6ep+643,-0x1.a39b755c367db06336aa4bfd827bp+642
0x1.105eb97bfc9d0fe5b49648418330p+649,-0x1.0d170fba8373d7dcbbf9ae22bab9p+648
0x1.6303701ed935d21b1c8e5c51c022p+654,-0x1.5b319bc4733225ea933a5e824fb8p+653
0x1.d1801d1e45c4c4f7df0fa3efcc87p+659,-0x1.c2a1297d1a6461b593f651cbc7fbp+658
0x1.330045fe11b38acb119fe340b3f3p+665,-0x1.262aecb24c4fb6a61c3b931c1260p+664
0x1.97551761ddb2c6807e32b9722b7dp+670,-0x1.8250c11227402ea1aac4fa9c6f4ap+669
0x1.0fd0749e50542a5c5ad474c585d0p+676,-0x1.fe49c407a002186cb1ba8bb1b567p+674
0x1.6ce25897c085d313a77cf19ea494p+681,-0x1.52fa05c0d7da0618c16efe557ddap+680
0x1.ecaa7a1520f5caf60652f21e32bcp+686,-0x1.c4f30fa3897f4864b73c9d9aa7cap+685
0x1.4e84c4d1b4cb3f8139c45961cdc2p+692,-0x1.305adad6d172821be21764bf08ffp+691
0x1.c8e1c8e7e6f10c9357ea78f2f678p+697,-0x1.9b58652e6c878a7b174fb921a0e7p+696
0x1.39c8776ed15d22174e1de9775cc5p+703,-0x1.178bd7dc56f32bdc9aa31fa17c83p+702
0x1.b17428bda0c5be68e38a0f19de8cp+708,-0x1.7e175fb4cbd6ed1601fb0bb84367p+707
0x1.2d125ad17b59d7c2a9e5b1dd13e5p+714,-0x1.069627d775ad723ad9f063681d14p+713
0x1.a496a369a796596642db06f92e0cp+719,-0x1.6aec7680ab8bd2c50365d0e18e72p+718
0x1.276a0a748a69cffae45160add45ap+725,-0x1.f85f63c7f28a9a57f2e09cda171fp+723
0x1.a14a6efb86431dcf7de1686bc1c6p+730,-0x1.6066a1049238cfa4f6326a58b691p+729
0x1.2859d17d11bf1defaf9a9567a15dp+736,-0x1.ef20e3987e30ca97a4192b19b431p+734
0x1.a73be71ebfd8253e28ed03ec2800p+741,-0x1.5db84fe4ae51daac39fa7402ac2dp+740
0x1.2fdee9d61e61a0d0564fe0fab1fep+747,-0x1.f0b241855b37c66326043e9e84b3p+745
0x1.b6b5feaac412409215bfe5b54a6ap+752,-0x1.629d3066c25642a48dd0f95c1818p+751
0x1.3e670af3c7d4334ae2ec33761d3bp+758,-0x1.fd0d3e7fdccb702703cc5f45c807p+756
0x1.d0a7a4bffc362b49f7783e05774fp+763,-0x1.6f500101ef17d98325f98fa3585bp+762
0x1.54da8d4dac4a11996d0c249d457ep+769,-0x1.0a6fcfae14b9812c8b91588651d4p+768
0x1.f6bb7d9d04c24a88b95d09e3869fp+774,-0x1.848e74430e4a1c58db0122b5227dp+773
0x1.74b4649da435f7b954eef69030fap+780,-0x1.1ccd4411940bbb797c0ae7397b0cp+779
0x1.15c29753e8f292a50cefebcafd4cp+786,-0x1.a3ab5647e87f326f5846d68ba674p+784
0x1.a02b5fc7d96c943f0d0b13736e8fp+791,-0x1.36cba4b720b1a34e905e2ae8927ep+790
0x1.396575fa9991a713d794be07358ap+797,-0x1.ceb15624948d44fc5a27cbddf21ap+795
0x1.da72ea5c94811be96c9be8e1e7b7p+802,-0x1.5a2b590a40a71e20b775fb2d9876p+801
0x1.68fb53266e7a92a557bfd3c00cbcp+808,-0x1.044db2bd4052c4f766ae0fae036ap+807
0x1.140ec63f54f8990932af991a6681p+814,-0x1.8972102ab2f0f6072a0137d5f18dp+812
0x1.a8609391fe6e6fd7bfa7fcd0be11p+819,-0x1.2ad58b379b47eb307bda30ec6dc5p+818
0x1.47d8bb285b267f4764300b5505bbp+825,-0x1.c835b66edab9d22e7470baa6e4e6p+823
0x1.fd1a0cb375b9de05a74adaa7bbb3p+830,-0x1.5df5370bf47a71103c3a99187018p+829
0x1.8d44701bb588e84322c8afdeac44p+836,-0x1.0dc6655c58badd99f52e27299aa3p+835
0x1.378c39afd9e3760a27b3bbafd3f1p+842,-0x1.a1f72bf6c19a881cd4b6dc089c91p+840
0x1.eb1395d79e7c3f4f86ccd3266b47p+847,-0x1.455b6a65a7c555ebe4e568b59460p+846
0x1.84f1605a53e345d389bf022cdb6dp+853,-0x1.fcfd7c59c86a0f4a1b8bcb14b569p+851
0x1.35910c40bd73a98afb14ea129eabp+859,-0x1.900d3e64eaca88b5c06647d14ef2p+857
0x1.ef311fa8f73685f94e3509b88346p+864,-0x1.3bef94c4a3fef3c3bbcdc3f395d5p+863
0x1.8dfdd3b6f5bb24759c967eacad2dp+870,-0x1.f563fd0ecb3b608e9f38af1fbec1p+868
0x1.416bdd73ee984aeb76f109330753p+876,-0x1.8fbd28712bec09a7d2f1ad4dfc89p+874
0x1.04d5cc8a7561c696c9dc8ce09117p+882,-0x1.40329d3fee8cf8cc86c18a5b64e2p+880
0x1.a95f007adf847e88b8d6bfdab672p+887,-0x1.01af8714a0bcea10a488cbb3fe22p+886
