-0x1.59fe2d484e1af0cab9d1584abbc6p-2,0x1.177e8271e117a4281567ea0f7aa3p-5
0x1.8e1c71ba1db60a7423ff3a425416p+178,-0x1.04234b257d88138674e60c02b8cfp+180
0x1.8129911b0a9805699105b321903cp+181,-0x1.f464a50460333c7290313bfcc01dp+182
0x1.77aed109136d4976a695f3ffd615p+184,-0x1.e53065701b9ff0d99f7d843178f8p+185
0x1.71687187548f3f13a494c8d87c5ep+187,-0x1.da3f2063e0ed102178a3e61d0cc1p+188
0x1.6e286a1aee72a9d4efbe56a9e616p+190,-0x1.d343d2c73b9bc2d59a236936c848p+191
0x1.6dd43a36813fc0237a52874112fep+193,-0x1.d00ba1c034727735b94b482c1da1p+194
0x1.7063924593de5abd9c38e9d3ad4cp+196,-0x1.d07b77a6a98e230e533aed04beeap+197
0x1.75dfbdae2f5ada515c91de62fd72p+199,-0x1.d48ea1b70860bce5a3518cd88771p+200
0x1.7e63c19d8ce76c1d7f83fdd3c934p+202,-0x1.dc5656157d1238371050b2b5b041p+203
0x1.8a1d2ec864eb5c9b7d4e82a6c9a5p+205,-0x1.e7fa172b18476cab174ea623ed54p+206
0x1.994dae36cbf7a3e6bccda58bd4d1p+208,-0x1.f7b8f5c686fb38d3841a7bf259ebp+209
0x1.ac4d5b76456ca0bc1d904922c4f5p+211,-0x1.05f5dfccb33c5a3ee3733a4c1797p+213
0x1.c38e09dc15a13d9d8737af7638cfp+214,-0x1.12841a43695b59def4fd3e996915p+216
0x1.df9f9fa8df83356479d72280560dp+217,-0x1.21d2b5d26d6833c4054c5f8b939dp+219
0x1.009ae0e599187b52ca7778f3ab87p+221,-0x1.3440d0e937bb8220956e62d26e63p+222
0x1.14978f6b0b65f3a6e1db91d1fe93p+224,-0x1.4a44e044a7cc338c1134133082b0p+225
0x1.2c4f607c5dffc76118d003fd21f4p+227,-0x1.647182cf41e695415968820e5659p+228
0x1.486bf7a220cf1597fb4a17038481p+230,-0x1.837baaf013f14cd325bb62dc9499p+231
0x1.69bea86c5d91a494ef9fbd5e4a23p+233,-0x1.a84277b86e0b0da6d70b4a5ca1b3p+234
0x1.914a1e03b1dc03285b20f9e5f885p+236,-0x1.d3d9345f634b00d3f01defc6730bp+237
0x1.c04eb24db6c6c434c5f555a0b148p+239,-0x1.03ca0c9d435864d9edba4de68189p+241
0x1.f85a3eb57330dfe8b7a4f53e799dp+242,-0x1.228c4cf3d3e9571508a458272120p+244
0x1.1dae38978cc87d5e82c71eb48983p+246,-0x1.4739265b10393307b41a65c9e305p+247
0x1.45e08327c8f366ded6dbe9810624p+249,-0x1.7316e68cd25a21abced2c4c30610p+250
0x1.7648de88ebeab38e7b0f00ea32a7p+252,-0x1.a7bdb6ce798b838993d8d0b29bc6p+253
0x1.b0d13a6aec860e6e8afd2615e9c0p+255,-0x1.e72e13e359c434a87d9132f6d428p+256
0x1.f7e55c830c15e1ef23fd8214ad1ep+258,-0x1.19f701fca2b107bfb61649a8d9e5p+260
0x1.274c47044277726b125e043d5347p+262,-0x1.48979afdd04447f170fd8b8ceaabp+263
0x1.5c6b9259f28369eb21c0fa95ee1dp+265,-0x1.81807a37a1dd6a0b826121a321b7p+266
0x1.9dd3f2e77b39f64e7dc490c8c1bfp+268,-0x1.c748ecfb66120c73264067fa1559p+269
0x1.eec15804d3183a872a5230e31c98p+271,-0x1.0ea1a659774d6a1bcfb90e5e554fp+273
0x1.29b0f457b19fe701652e7ec09eafp+275,-0x1.43db44ff81796f8838103326e41dp+276
0x1.68918a16b74dd79a5a8c9e65ab61p+278,-0x1.86156692cef8549de87e4a6effd0p+279
0x1.b78c7e5bcbef6944f6476d6ba7afp+281,-0x1.d8e7f633779dd76e91fa3a9bcecdp+282
0x1.0da27509acfa49e9a3d93feddcd7p+285,-0x1.2081c033ead9f180e5314861bc6bp+286
0x1.4cea9d0d7189518a574999e67479p+288,-0x1.6246fa7f5c19ff26160813501a48p+289
0x1.9da7ab17b7799f6b0138d4123dfap+291,-0x1.b5d020bdb4b217dbeb04ca3daad8p+292
0x1.029ae222642030741c9ccaf0bd5fp+295,-0x1.103c47ae934e51dbc1606f2c8a95p+296
0x1.455e0ea7df12006a9778d4fb4435p+298,-0x1.54af94feeff416a3c223f5be5600p+299
0x1.9be8fe59d20845e925016708de14p+301,-0x1.ad0329162acc258b06795e08db66p+302
0x1.0658b6e19995a3e2cea3bd090704p+305,-0x1.0fcc0fbe071e6bb3a84684231673p+306
0x1.503aca1d023bb8040a9baf1f9e0cp+308,-0x1.5a83f3f3fa143e412db857296673p+309
0x1.b18c81a4e25b32197a4c22a5acd5p+311,-0x1.bc7c04e31a08cbe3097a34ff9ea4p+312
0x1.19368122bf141d58cfb972cf79b8p+315,-0x1.1ed069b5897111fe275db8f42310p+316
0x1.6f013408927a6f4d3d1889069b31p+318,-0x1.7463ea2de6c95f44e0664cb11d74p+319
0x1.e1d69f454cf23b923474b637f8c6p+321,-0x1.e66972f16d67b0250a5cdc36368bp+322
0x1.3e2f36c414ec41cbc644a1432693p+325,-0x1.3f931f652582e211967e16900be0p+326
0x1.a6b756ab1d1811dedb971c1f9ab8p+328,-0x1.a66c401ac7cd36d57e14d64650c2p+329
0x1.1a7244edb4aaad2a4116f92828d0p+332,-0x1.18d635e5f09a5c5a1a53529f9617p+333
0x1.7ba6d2e40aed112c37012d34a315p+335,-0x1.779c1aa12834109203b1b0019d26p+336
0x1.00a37ae17cd9779f9b7753455987p+339,-0x1.f94d63adff5c2b5ebd44ed6c6a72p+339
0x1.5cf8fcfbbb7d2ee98d8a86c8ecaap+342,-0x1.55dcf99fcd34d04e6187d486982fp+343
