-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.7c8e7162fea9976053828b1b796ep+310,-0x1.12824094eee2378e1f6352d178f0p+311
0x1.76ac9dcd33435111dae2b9b0b972p+314,-0x1.0c711de1e0815597aebf74e511fep+315
0x1.73ced0d035dc0a7ab0db9305860fp+318,-0x1.089a2b89deba8746638246a9bc3cp+319
0x1.73dda7dc7dd54256a99fdfbe8760p+322,-0x1.06e175f88b5403f41e88eb476bf8p+323
0x1.76d3a51c5857769f49350b12be41p+326,-0x1.0738573a2bc656fd934696ac9f98p+327
0x1.7cbcbccd78ae35f01436fb2f60e8p+330,-0x1.099cb6800b436446b993d5fabca6p+331
0x1.85b692b079f627a4c84da2951511p+334,-0x1.0e18c92f84a55da7509a06b99050p+335
0x1.91f167b6de80f4a4b67f83fca2ffp+338,-0x1.14c34fa92080ba0260a56a339d16p+339
0x1.a1b1c1b8e34f280fd75e0b525e20p+342,-0x1.1dc04ed70ccb3060725b57f271edp+343
0x1.b552e113af29119f74d21ed1b124p+346,-0x1.29424e5dc1f6c56b12a793670ab9p+347
0x1.cd4a2351a4fae5f391ea517ef700p+350,-0x1.378c2a797f77f3188cbf2054cf18p+351
0x1.ea2b7f3216436040b6852b5dd350p+354,-0x1.48f390a70fe681021d49bbb0b073p+355
0x1.0657ab3c5fe726e47dc94e114575p+359,-0x1.5de447bd8fb35a7cbc10665ee0e7p+359
0x1.1adcf703ae7697b49a7fae31108fp+363,-0x1.76e46fc5569b972423b3e21ea10dp+363
0x1.33327b2f002d7d47c55bef27af53p+367,-0x1.9499f473c1fa88796a3b7f47c0f5p+367
0x1.5005d7d3be4e24d6dff40b6da336p+371,-0x1.b7d17fd784cfd442fff43506b070p+371
0x1.722d2fbde91fb8db497599b322eap+375,-0x1.e18752d574cfa7a7399bba69ed86p+375
0x1.9ab10376a192f0a0bf11e7492bb8p+379,-0x1.0979443c072f1a5fbc5c8f1a4ccbp+380
0x1.cad8c8ee9e6a8a504ab9b2fecf8cp+383,-0x1.26c9b9216a3507c0b9fa27792070p+384
0x1.021d86cce2be0334ccbb6d0f2d5fp+388,-0x1.49a2f90915e57a6c003a2696167dp+388
0x1.24691935779e53f92e7aa37078cbp+392,-0x1.732c7f0e0654fd989f51c0c8292bp+392
0x1.4d8b946b4d4705638f6439fe50a8p+396,-0x1.a4d66dc9d76a841e730f2b92d39ep+396
0x1.7f1206da837f208c0929d5467115p+400,-0x1.e06d0e58848941910b0e1ece8cc1p+400
0x1.baf08eb06fef451ca558fe0fb609p+404,-0x1.141906be8e4d62cf7fe1f9c12111p+405
0x1.01cfd4afcd462848a438d11dc587p+409,-0x1.3f7ea3a2e960db20d55a309619b5p+409
0x1.2e21496c96e6f8edcab8f4750542p+413,-0x1.7433c72a2438be0f976d0b8fe1d2p+413
0x1.646cda689fc825bd149fd920cd74p+417,-0x1.b481585db92d0d79bbd7b8232425p+417
0x1.a7429a9cda23464279e57ac1b502p+421,-0x1.01a8c7948e0fb5f75c55a38f37f5p+422
0x1.f9ee936c30d4cfa95730d833e2dfp+425,-0x1.32304836b70e8059e041bc828d51p+426
0x1.3059b7bf7dd7965276716f82c373p+430,-0x1.6e3e6dab6c7863e669da9a7e3bb9p+430
0x1.708c6de9f4cfd29e6f3fae625763p+434,-0x1.b8ee83a85f49967bbc2f04d58089p+434
0x1.c12a57287c82a565cdc1b5a9a949p+438,-0x1.0b24962d7e1661e110cae70f9726p+439
